District,Crime_Type,Year,Total_Cases,Male_Victims,Female_Victims,Victims_Under18,Victims_18to45,Victims_Above45,Arrests_Made,Pending_Cases,Convictions
RuralAreaX,Dowry Death,2023,4,2,2,0,2,2,3,1,0
Udupi,Theft,2023,166,76,90,27,125,14,139,27,41
Chamarajanagar2,Rape,2023,38,22,16,7,29,2,29,9,3
Belagavi,Theft,2023,144,94,50,22,115,7,82,62,33
Yadgir,Dowry Death,2023,7,4,3,1,5,1,2,5,0
Tumakuru,Domestic Violence,2023,89,46,43,5,56,28,62,27,25
Tumakuru,Theft,2023,112,65,47,12,73,27,45,67,18
Mandya,Murder,2023,5,2,3,0,3,2,3,2,0
Belagavi,Robbery,2023,16,5,11,2,10,4,12,4,5
Vijayapura,Cheating,2023,79,38,41,3,48,28,36,43,4
Chitradurga,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Koppal,Molestation,2023,28,14,14,1,20,7,18,10,8
Bidar,Robbery,2023,13,8,5,1,9,3,4,9,0
Kodagu,Cheating,2023,90,48,42,8,57,25,32,58,14
Shivamogga,Cheating,2023,78,32,46,3,50,25,66,12,28
Uttara Kannada,Robbery,2023,13,4,9,1,9,3,8,5,2
Mandya,Molestation,2023,28,18,10,2,23,3,22,6,8
Dharwad,Kidnapping,2023,6,4,2,0,3,3,4,2,0
Shivamogga,Domestic Violence,2023,71,47,24,6,42,23,47,24,5
Kodagu,Cyber Crime,2023,67,23,44,4,40,23,44,23,11
Belagavi,Cyber Crime,2023,81,47,34,3,53,25,68,13,9
Gadag,Molestation,2023,15,5,10,1,9,5,7,8,0
Gadag,Cheating,2023,85,35,50,5,55,25,27,58,1
Chikkaballapura,Cheating,2023,98,57,41,8,67,23,36,62,16
Tumakuru,Domestic Violence,2023,62,29,33,8,47,7,32,30,5
Shimoga,Robbery,2023,11,5,6,0,7,4,3,8,0
Chikkamagaluru,Theft,2023,114,71,43,18,85,11,65,49,15
Haveri,Theft,2023,137,53,84,9,115,13,74,63,6
Uttara Kannada,Domestic Violence,2023,62,33,29,3,52,7,35,27,9
Kolar,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Chitradurga,Theft,2023,112,47,65,6,86,20,87,25,11
Chamarajanagar2,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Bagalkot,Kidnapping,2023,5,3,2,0,3,2,1,4,0
Davangere,Theft,2023,114,72,42,21,74,19,97,17,22
Ramanagara,Robbery,2023,9,5,4,1,5,3,6,3,2
Chamarajanagar,Theft,2023,135,68,67,14,103,18,45,90,18
Haveri,Theft,2023,138,76,62,24,94,20,71,67,23
Bengaluru Urban,Rape,2023,30,17,13,5,21,4,18,12,3
Ballari,Rape,2023,39,13,26,6,24,9,30,9,8
Dharwad,Kidnapping,2023,5,3,2,0,3,2,4,1,0
Ramanagara,Cyber Crime,2023,70,34,36,4,46,20,27,43,9
Chamarajanagar,Dowry Death,2023,12,5,7,2,10,0,8,4,2
Bagalkot,Murder,2023,4,2,2,0,3,1,1,3,0
Chamarajanagar2,Robbery,2023,10,3,7,0,8,2,5,5,1
Raichur,Murder,2023,4,2,2,0,2,2,2,2,0
Hassan,Domestic Violence,2023,62,42,20,9,41,12,43,19,11
RuralAreaX,Domestic Violence,2023,80,38,42,12,64,4,30,50,8
Chikkaballapura,Molestation,2023,18,12,6,1,13,4,14,4,3
Ramanagara,Domestic Violence,2023,71,48,23,14,44,13,62,9,9
Chitradurga,Dowry Death,2023,2,0,2,0,1,1,1,1,0
Chikkaballapura,Rape,2023,40,16,24,3,30,7,18,22,2
Koppal,Dowry Death,2023,9,4,5,1,6,2,7,2,0
Mandya,Domestic Violence,2023,69,22,47,5,47,17,51,18,22
Chikkaballapura,Kidnapping,2023,5,3,2,0,3,2,2,3,0
Shimoga,Domestic Violence,2023,86,58,28,3,70,13,53,33,4
Mangaluru,Murder,2023,0,0,0,0,0,0,0,0,0
Bagalkot,Kidnapping,2023,3,1,2,0,1,2,1,2,0
Vijayanagar,Cheating,2023,103,47,56,4,69,30,84,19,13
Belagavi,Kidnapping,2023,7,4,3,0,5,2,4,3,1
Mangaluru,Murder,2023,0,0,0,0,0,0,0,0,0
Chamarajanagar,Rape,2023,36,18,18,2,27,7,14,22,1
Kalaburagi,Murder,2023,3,1,2,0,1,2,2,1,0
Mysuru,Cyber Crime,2023,78,41,37,14,54,10,49,29,15
Vijayapura,Dowry Death,2023,11,4,7,0,7,4,4,7,1
Hubballi,Molestation,2023,24,8,16,2,18,4,11,13,1
Yadgir,Molestation,2023,30,19,11,0,23,7,14,16,4
Bagalkot,Domestic Violence,2023,60,31,29,8,46,6,37,23,10
Dharwad,Dowry Death,2023,3,1,2,0,2,1,1,2,0
Ballari,Robbery,2023,4,1,3,0,3,1,1,3,0
RuralAreaX,Cheating,2023,97,52,45,16,61,20,79,18,23
Chikkamagaluru,Theft,2023,116,38,78,16,76,24,70,46,27
Chikkaballapura,Rape,2023,29,9,20,2,17,10,16,13,2
Haveri,Kidnapping,2023,11,4,7,1,7,3,4,7,0
Vijayapura,Rape,2023,35,19,16,3,27,5,19,16,3
Bengaluru Urban,Domestic Violence,2023,60,37,23,7,45,8,17,43,2
Gadag,Kidnapping,2023,5,2,3,0,3,2,1,4,0
Mandya,Murder,2023,3,2,1,0,2,1,1,2,0
Vijayanagar,Molestation,2023,13,7,6,2,9,2,3,10,0
RuralAreaX,Cheating,2023,107,41,66,15,79,13,43,64,16
Chamarajanagar,Theft,2023,124,70,54,14,82,28,97,27,10
Kolar,Cheating,2023,77,48,29,6,63,8,67,10,28
Mysuru,Domestic Violence,2023,63,23,40,6,44,13,28,35,9
Uttara Kannada,Molestation,2023,19,5,14,1,15,3,15,4,4
Bengaluru Urban,Robbery,2023,13,6,7,2,8,3,10,3,3
Bengaluru Rural,Rape,2023,39,21,18,4,30,5,13,26,1
Vijayapura,Cyber Crime,2023,43,28,15,6,29,8,11,32,3
Ballari,Theft,2023,121,45,76,14,86,21,92,29,9
