District,Year,Negligence_Cause,Death_Count,Male_Deaths,Female_Deaths
Koppal,2023,Police Negligence,2,1,1
Yadgir,2023,Other,5,4,1
Ballari,2023,Fire,3,2,1
Ballari,2023,Other,3,2,1
Bagalkot,2023,Fire,2,1,1
Bagalkot,2023,Medical,2,1,1
Shivamogga,2023,Industrial,2,1,1
Yadgir,2023,Other,1,0,1
Chamarajanagar2,2023,Industrial,6,4,2
Koppal,2023,Fire,0,0,0
Raichur,2023,Fire,4,3,1
Belagavi,2023,Fire,2,1,1
Vijayanagar,2023,Other,2,1,1
Raichur,2023,Police Negligence,6,4,2
Kodagu,2023,Police Negligence,2,1,1
Dharwad,2023,Police Negligence,0,0,0
Udupi,2023,Industrial,3,2,1
Chikkamagaluru,2023,Medical,2,1,1
Davangere,2023,Industrial,0,0,0
Uttara Kannada,2023,Fire,0,0,0
Kalaburagi,2023,Police Negligence,3,2,1
Bidar,2023,Medical,2,1,1
Bagalkot,2023,Medical,1,0,1
Bidar,2023,Fire,2,1,1
Raichur,2023,Police Negligence,1,0,1
Chamarajanagar2,2023,Industrial,6,4,2
Hassan,2023,Fire,2,1,1
Bagalkot,2023,Industrial,3,2,1
Vijayanagar,2023,Industrial,1,0,1
Ramanagara,2023,Industrial,2,1,1
Haveri,2023,Police Negligence,2,1,1
Kodagu,2023,Industrial,6,5,1
Davangere,2023,Fire,3,2,1
Vijayapura,2023,Industrial,4,2,2
Chamarajanagar2,2023,Industrial,2,1,1
Hassan,2023,Industrial,1,0,1
Davangere,2023,Police Negligence,1,0,1
Hubballi,2023,Police Negligence,2,1,1
Bidar,2023,Fire,3,2,1
Raichur,2023,Fire,2,1,1
Kolar,2023,Other,2,1,1
Udupi,2023,Medical,3,2,1
Hubballi,2023,Fire,2,1,1
Udupi,2023,Industrial,1,0,1
Haveri,2023,Other,2,1,1
Gadag,2023,Other,4,2,2
Dharwad,2023,Other,3,1,2
Kalaburagi,2023,Other,6,3,3
RuralAreaX,2023,Fire,2,1,1
Bengaluru Rural,2023,Other,0,0,0
Raichur,2023,Other,2,1,1
Bidar,2023,Industrial,1,0,1
Yadgir,2023,Industrial,0,0,0
Hubballi,2023,Industrial,0,0,0
Kolar,2023,Industrial,3,2,1
Kodagu,2023,Fire,3,2,1
Davangere,2023,Medical,0,0,0
Hassan,2023,Industrial,0,0,0
Hassan,2023,Other,4,2,2
Bidar,2023,Fire,2,1,1
Koppal,2023,Medical,2,1,1
Ramanagara,2023,Medical,4,2,2
Raichur,2023,Other,1,0,1
Tumakuru,2023,Medical,2,1,1
RuralAreaX,2023,Industrial,1,0,1
Gadag,2023,Industrial,1,0,1
Kalaburagi,2023,Industrial,3,2,1
Chamarajanagar,2023,Police Negligence,1,0,1
Dharwad,2023,Fire,1,0,1
Chamarajanagar,2023,Industrial,2,1,1
Raichur,2023,Medical,1,0,1
Mangaluru,2023,Police Negligence,1,0,1
Hubballi,2023,Medical,1,0,1
Koppal,2023,Industrial,4,3,1
Ramanagara,2023,Fire,4,2,2
Bagalkot,2023,Medical,1,0,1
Bengaluru Urban,2023,Fire,0,0,0
Chikkamagaluru,2023,Medical,2,1,1
