District,Year,Accident_Cause,Deaths,Vehicles_Involved,Male_Deaths,Female_Deaths
Vijayanagar,2024,Animal Crossing,1,0,0,1
Bengaluru Urban,2024,Over Speeding,0,5,0,0
Davangere,2024,Animal Crossing,2,3,1,1
Uttara Kannada,2024,Mechanical Failure,3,4,2,1
Haveri,2024,Mechanical Failure,2,1,1,1
Chitradurga,2024,Over Speeding,0,4,0,0
Uttara Kannada,2024,Pedestrian Negligence,3,1,2,1
Mandya,2024,Animal Crossing,1,1,0,1
Kodagu,2024,Drunk Driving,3,0,2,1
Chamarajanagar2,2024,Drunk Driving,0,5,0,0
Bagalkot,2024,Drunk Driving,0,5,0,0
Chikkamagaluru,2024,Road Condition,0,4,0,0
Uttara Kannada,2024,Animal Crossing,1,3,0,1
Mandya,2024,Driver Fatigue,1,2,0,1
Ballari,2024,Mechanical Failure,0,0,0,0
Davangere,2024,Road Condition,2,2,1,1
Uttara Kannada,2024,Road Condition,2,4,1,1
Bengaluru Rural,2024,Road Condition,2,0,1,1
Vijayanagar,2024,Pedestrian Negligence,2,2,1,1
Yadgir,2024,Pedestrian Negligence,1,0,0,1
Davangere,2024,Drunk Driving,2,4,1,1
Kodagu,2024,Driver Fatigue,5,1,3,2
Kalaburagi,2024,Drunk Driving,4,0,3,1
Chikkaballapura,2024,Animal Crossing,3,0,2,1
Chikkamagaluru,2024,Pedestrian Negligence,5,4,3,2
Bidar,2024,Drunk Driving,2,5,1,1
RuralAreaX,2024,Pedestrian Negligence,1,2,0,1
Yadgir,2024,Weather Conditions,2,5,1,1
Koppal,2024,Road Condition,0,1,0,0
Mandya,2024,Drunk Driving,2,5,1,1
Chitradurga,2024,Over Speeding,4,4,3,1
Davangere,2024,Over Speeding,1,1,0,1
Chitradurga,2024,Mechanical Failure,2,0,1,1
Gadag,2024,Drunk Driving,2,4,1,1
Chikkaballapura,2024,Mechanical Failure,0,1,0,0
Kolar,2024,Over Speeding,2,2,1,1
Bagalkot,2024,Weather Conditions,2,3,1,1
Kolar,2024,Weather Conditions,1,1,0,1
Ramanagara,2024,Driver Fatigue,1,1,0,1
